Points_0,Points_1,Points_2
-6.88082,-0.585921,38.0993
-7.22053,-0.817904,37.9433
-17.4879,18.5105,47.6293
-17.7029,18.2188,47.6616
-17.2721,18.142,47.7009
-15.8459,18.8028,47.0122
1.51472,8.69381,46.9025
1.29272,8.68332,47.1837
1.59506,8.5078,47.2184
0.683519,3.5277,42.2167
0.823189,3.91072,42.1377
0.865699,3.74039,42.4921
-0.280373,2.8461,42.403
-0.127074,2.63906,42.1492
0.0306215,2.88065,42.295
-1.08522,1.68397,41.5958
-0.764963,1.88412,41.4865
-0.954103,2.00628,41.8011
21.6912,-5.76992,12.2277
22.0062,-5.54431,12.0737
21.6176,-5.41547,12.2339
-17.1563,2.87161,11.2562
-17.0039,3.20595,11.4343
-16.751,3.02148,11.116
-0.666528,6.09812,49.6789
-0.167654,6.1247,49.4395
-0.523865,6.36353,49.7464
16.7238,-3.58,-0.0311839
16.4991,-3.91654,-0.0311839
16.2812,-3.53419,-0.0311839
6.19023,-10.7875,-0.0311839
6.70062,-10.8429,-0.0311839
6.35301,-11.2035,-0.0311839
-0.60192,-2.34881,-0.0311839
-0.342799,-2.06252,-0.0311839
-0.213079,-2.44275,-0.0311839
2.76217,-7.7498,-0.0311839
3.01035,-8.10219,-0.0311839
2.58397,-8.12992,-0.0311839
6.64813,-5.48966,-0.0311839
7.06024,-5.36577,-0.0311839
6.98415,-5.80343,-0.0311839
9.1825,-6.70242,-0.0311839
9.5809,-6.5688,-0.0311839
9.50638,-6.97923,-0.0311839
14.2705,-7.99226,-0.0311839
14.58,-7.66483,-0.0311839
14.6962,-8.09163,-0.0311839
2.88802,-9.25926,-0.0311839
2.62967,-8.89422,-0.0311839
3.07566,-8.8577,-0.0311839
1.93748,-7.78808,-0.0311839
1.53006,-7.77837,-0.0311839
1.74046,-7.44768,-0.0311839
2.34801,-7.77922,-0.0311839
1.9877,-3.65155,-0.0311839
2.2423,-4.02191,-0.0311839
1.80996,-4.0746,-0.0311839
6.46952,-10.4293,-0.0311839
-7.54923,-1.00505,-0.0311839
-7.28939,-0.669592,-0.0311839
-7.09369,-1.09692,-0.0311839
1.54261,-3.71463,-0.0311839
6.36689,-3.0665,-0.0311839
6.2841,-3.50679,-0.0311839
5.95468,-3.19617,-0.0311839
7.49685,-3.62708,-0.0311839
7.69329,-3.20955,-0.0311839
7.93217,-3.5944,-0.0311839
-0.412544,7.52922,-0.0311839
-0.193699,7.10976,-0.0311839
-0.678248,7.13936,-0.0311839
5.33591,-4.1858,-0.0311839
5.76933,-4.06852,-0.0311839
5.67565,-4.51751,-0.0311839
2.01435,6.69003,-0.0311839
1.93152,7.08753,-0.0311839
2.33732,6.94835,-0.0311839
0.0632834,-2.1294,-0.0311839
5.88092,-11.131,-0.0311839
3.70416,-3.55013,-0.0311839
3.51945,-3.91028,-0.0311839
3.28823,-3.55846,-0.0311839
6.73563,-5.04498,-0.0311839
1.90161,5.62253,-0.0311839
1.79568,6.02154,-0.0311839
2.20095,5.88102,-0.0311839
8.13783,-3.2126,-0.0311839
-10.3413,-1.25771,-0.0311839
-9.91051,-1.41123,-0.0311839
-10.3132,-1.77262,-0.0311839
-6.01182,-11.4084,-0.0311839
-6.32695,-11.6906,-0.0311839
-6.38497,-11.354,-0.0311839
-7.64799,-13.9193,-0.0311839
-7.22694,-13.8436,-0.0311839
-7.39858,-14.2294,-0.0311839
-10.302,0.158006,-0.0311839
-10.6745,-0.0138264,-0.0311839
-10.5899,0.385192,-0.0311839
5.88278,3.58272,-0.0311839
6.2667,3.45214,-0.0311839
5.95525,3.16461,-0.0311839
14.1508,-7.57344,-0.0311839
9.55248,5.54786,-0.0311839
9.7016,5.96,-0.0311839
9.98347,5.62714,-0.0311839
1.93854,-5.62923,-0.0311839
2.39392,-5.55189,-0.0311839
2.21739,-5.98731,-0.0311839
0.980949,-17.1593,-0.0311839
0.554984,-17.2197,-0.0311839
0.819657,-16.8673,-0.0311839
-10.676,-1.38669,42.825
-10.9095,-1.06851,42.8534
-11.0446,-1.36298,42.6374
-19.6345,-14.9114,36.1419
-19.7645,-14.5528,36.4571
-20.0436,-14.8106,36.1541
-11.5187,-1.02484,34.899
-11.7206,-0.75378,34.6541
-11.7102,-0.721019,35.0877
-7.14976,-14.8925,18.0405
-9.09807,6.49297,14.9528
-9.5086,6.50318,14.946
-9.33488,6.61762,15.2651
9.52238,10.2152,12.9953
9.46045,10.2514,12.5463
9.21704,10.3782,12.8542
23.843,-2.20896,4.26028
23.7371,-2.54181,4.03245
23.5461,-2.19127,3.94126
-13.7369,-14.2751,2.77932
-14.1394,-14.2566,2.66792
-13.9837,-14.5425,2.5041
17.6377,2.24056,6.27814
17.7466,2.36811,6.618
17.9565,2.02092,6.48055
18.3449,1.82808,6.31691
18.2305,1.88838,6.76067
9.85699,-15.4579,2.56141
9.52203,-15.4619,2.31622
9.93072,-15.3341,2.16687
1.12378,11.2209,7.19512
1.00952,11.0942,6.80973
0.720905,11.2175,7.11239
12.1983,-16.4671,6.86783
11.8474,-16.5772,6.9354
11.905,-16.5175,6.59746
12.2925,-16.3415,6.43685
-8.32916,3.39451,3.78948
-8.60941,3.51484,3.49896
-8.72501,3.26653,3.82066
20.4833,-11.0739,5.12082
20.6109,-11.0749,5.58659
20.1425,-11.1165,5.41071
-5.54958,5.60352,9.93982
-5.84421,5.35022,10.2177
-5.63478,5.77995,10.3331
16.3258,5.98005,13.4339
16.5353,5.79695,13.7206
16.6011,5.67805,13.3526
-17.6874,-3.72335,8.34082
-18.0035,-3.93775,8.51085
-17.9773,-3.50764,8.50857
-18.2755,-3.71403,8.70927
-5.6915,6.53126,11.4158
-5.49664,6.88096,11.2402
-10.4045,5.94119,13.5168
-9.95452,5.97089,13.6236
-10.0964,5.79792,13.2375
21.0352,-2.55879,14.9031
21.0284,-2.8465,15.2393
21.0612,-2.95216,14.8243
20.9905,-7.96669,11.1524
20.7505,-8.34916,10.9542
21.1444,-8.13133,10.8374
-0.821552,-18.0567,10.9589
-1.14411,-17.8093,10.9339
-0.916968,-17.8834,10.6052
-13.0548,-9.95735,8.25684
-12.8418,-9.65714,8.04367
-12.6841,-10.0523,8.15764
-12.4781,-9.80379,7.87027
-9.62628,-14.8925,18.5784
-9.86003,-14.9505,18.8996
-10.0264,-15.0104,18.509
18.465,-0.864692,23.4929
18.4927,-0.448415,23.2311
18.2544,-0.53928,23.6807
15.9211,-14.3703,19.1227
15.5444,-14.625,19.1841
15.7733,-14.5906,18.7928
-6.84232,5.48298,25.0545
-6.86772,5.67632,24.6976
-7.21456,5.56176,24.8662
-20.6457,-11.8923,21.3037
-20.3712,-12.0795,21.5702
-20.633,-11.7934,21.708
-10.4866,1.7177,29.7517
-10.6121,1.37745,30.0164
-10.2291,1.42174,29.9342
-16.7235,-17.3334,27.2717
-16.834,-17.5138,27.627
-17.009,-17.6191,27.2446
-5.72402,3.07029,27.5335
-5.86531,2.7938,27.8175
-5.47974,2.79122,27.699
-22.6463,-9.99774,24.8781
-22.386,-9.86065,24.585
-22.384,-10.2701,24.6861
-10.2219,-9.62295,29.455
-10.0921,-9.25265,29.7742
-10.3096,-9.59739,30.006
-20.2485,-16.6487,25.8198
-16.6817,-15.3901,32.0716
-16.8086,-15.3879,32.5438
-16.9389,-15.6882,32.2178
-9.68893,0.0334773,36.7805
-9.88289,0.421336,36.9469
-9.4716,0.384333,37.0229
-20.4077,-17.5776,27.5503
-20.1343,-17.6375,27.2281
-20.0487,-17.794,27.6013
-10.8486,-3.13514,35.3204
-10.7215,-3.14346,35.6403
-10.7876,-3.44772,35.5287
-20.3394,-14.9863,35.8749
-19.9379,-15.1248,35.8792
-11.9038,-3.03075,41.0377
-12.265,-2.86749,41.0074
-12.1585,-3.22027,40.7694
-11.7613,-3.27319,40.7675
-20.1556,-14.5397,36.3555
-20.4125,-14.6622,36.1328
-1.57128,5.43154,42.9475
-1.1763,5.59664,43.0539
-1.22128,5.34672,42.7347
-13.094,-7.30374,39.1171
-13.172,-6.93224,39.1856
-11.4117,-4.97457,37.1409
-11.5779,-5.43226,37.1528
-11.4743,-5.23972,36.7801
-18.3397,17.7391,47.7492
-17.9014,17.5809,47.8328
-17.9853,17.9577,47.7541
-8.38743,-1.73054,41.1361
-8.39679,-1.9079,40.769
-8.06787,-1.68373,40.8929
-18.1414,18.2535,47.2537
-18.3536,17.9694,47.5162
-1.26357,5.07411,42.4009
-1.62045,5.19405,42.6193
1.55402,8.26618,47.6097
1.37497,8.51403,47.456
1.23927,8.3342,47.7205
1.8867,6.11428,44.3859
1.60498,6.05643,44.722
1.58987,5.82202,44.3677
-3.31581,2.65954,46.3178
-3.5363,2.33865,46.4209
-3.54875,2.48977,46.013
-1.79579,3.92339,48.1356
-1.89748,3.91623,48.5576
-2.05577,3.58271,48.1629
-3.94455,3.16191,47.8336
-3.76146,2.77839,47.7646
-3.56802,3.16956,47.8523
-18.3069,4.6876,19.4319
-18.322,4.60179,19.8232
-17.9288,4.80678,19.6642
-15.8667,-13.4088,36.2309
-15.8845,-13.474,35.8374
-15.5917,-13.2617,36.0108
-16.5946,-0.685483,39.3067
-16.4922,-0.290097,39.2608
-16.9044,-0.348749,39.4399
-9.43385,1.35736,43.9359
-9.72631,1.10576,43.7937
-9.49079,1.0179,44.123
-7.4251,-0.0907618,45.0841
-7.63613,-0.290234,44.8321
-7.25699,-0.356224,44.8684
0.912378,7.09753,47.9885
0.717095,6.97875,48.395
0.631456,6.76985,48.0498
0.152748,7.96315,48.9679
0.407966,7.60439,49.2278
0.576402,7.98126,49.0056
0.739275,7.50019,49.0632
-2.12262,-18.1771,1.93924
-1.79265,-18.1286,1.84249
-1.95868,-18.0684,2.23842
2.67015,7.19964,-0.0311839
2.26264,7.34201,-0.0311839
-10.3235,-12.1833,-0.0311839
-9.91538,-12.3666,-0.0311839
-10.2872,-12.6238,-0.0311839
6.9336,-6.23419,-0.0311839
7.31858,-6.09811,-0.0311839
7.39041,-5.67769,-0.0311839
1.88304,-4.84373,-0.0311839
1.69326,-5.25447,-0.0311839
1.44432,-4.89367,-0.0311839
1.25843,-5.28726,-0.0311839
2.52269,-6.30879,-0.0311839
2.66608,-5.8843,-0.0311839
8.76226,-3.60684,-0.0311839
8.34973,-3.59108,-0.0311839
8.56215,-3.23324,-0.0311839
-6.90951,-9.84831,-0.0311839
-7.27506,-10.1498,-0.0311839
-7.37917,-9.77164,-0.0311839
6.71411,-3.37405,-0.0311839
-7.00448,-2.53782,-0.0311839
-6.70073,-2.18685,-0.0311839
-6.54867,-2.62683,-0.0311839
1.69495,6.4253,-0.0311839
1.60482,6.82762,-0.0311839
-11.2533,0.532595,-0.0311839
-10.9678,0.254631,-0.0311839
-11.3623,0.133897,-0.0311839
2.06078,4.12993,-0.0311839
1.61664,4.19359,-0.0311839
1.90025,4.53927,-0.0311839
-2.53021,5.69163,-0.0311839
-2.32728,6.06989,-0.0311839
-2.09246,5.71398,-0.0311839
2.28189,-9.72368,-0.0311839
2.70546,-9.66415,-0.0311839
2.52013,-10.0645,-0.0311839
-11.9049,-0.37131,-0.0311839
-12.3112,-0.465008,-0.0311839
-12.1802,-0.0623036,-0.0311839
-7.57085,7.24483,-0.0311839
-7.66019,6.79221,-0.0311839
-7.97862,7.03866,-0.0311839
7.3717,3.56321,-0.0311839
7.16444,3.95617,-0.0311839
7.57532,3.99235,-0.0311839
-12.4429,-15.8646,0.424947
-12.2632,-15.5408,-0.0311839
-12.0356,-15.8152,0.424026
-12.8738,-4.1469,-0.0311839
-12.5094,-3.97422,-0.0311839
-12.5468,-4.40563,-0.0311839
16.1014,-3.1162,-0.0311839
16.5434,-3.18505,-0.0311839
10.0522,-15.0818,0.26769
10.1509,-14.6649,-0.0311839
10.4702,-14.9011,0.259927
-5.34787,-6.82294,-0.0311839
-4.96367,-6.65856,-0.0311839
-5.00958,-7.07992,-0.0311839
-12.7093,-0.579044,-0.0311839
-13.0176,-0.291184,-0.0311839
-12.5984,-0.164561,-0.0311839
3.29733,-2.76137,-0.0311839
2.93182,-2.43928,-0.0311839
3.35071,-2.27873,-0.0311839
10.8394,-0.212307,-0.0311839
10.4225,-0.150541,-0.0311839
10.6865,0.178706,-0.0311839
6.0175,-10.3875,-0.0311839
-4.11806,-6.29591,-0.0311839
-3.70722,-6.19941,-0.0311839
-3.80567,-6.63494,-0.0311839
-2.77314,6.04451,-0.0311839
-6.98422,-14.157,-0.0311839
-3.68027,-15.5952,-0.0311839
-3.39983,-15.2526,-0.0311839
-3.20362,-15.652,-0.0311839
-6.8712,-8.01107,-0.0311839
-6.53323,-7.7724,-0.0311839
-6.49488,-8.17517,-0.0311839
15.0464,-7.7452,-0.0311839
14.8633,-7.3312,-0.0311839
14.8091,-8.5176,-0.0311839
14.3754,-8.42484,-0.0311839
-15.3,-3.55781,-0.0311839
-14.9949,-3.26251,-0.0311839
-14.8917,-3.681,-0.0311839
-13.5357,-8.95732,-0.0311839
-13.1504,-8.82326,-0.0311839
-13.1914,-9.27464,-0.0311839
9.63952,-6.1539,-0.0311839
9.98259,-6.41689,-0.0311839
-14.7918,-4.09246,-0.0311839
-15.204,-3.96993,-0.0311839
-10.7906,-6.95819,-0.0311839
-11.0456,-7.37674,-0.0311839
-11.2529,-6.88157,-0.0311839
-5.45791,-16.9208,1.25002
-5.13715,-17.1021,1.4888
-5.40529,-16.7374,1.67092
7.58274,7.55122,0.410736
7.90704,7.47714,0.200192
7.52158,7.29901,-0.0311839
23.6145,-1.80636,4.18938
-5.95851,3.35808,5.85168
-6.30888,3.27147,6.05731
-5.95764,3.4071,6.27771
-15.9174,-10.9487,9.75486
-15.6334,-10.7295,9.51738
-15.5107,-11.0788,9.67551
8.21527,-17.8657,19.0874
7.93769,-17.7405,19.4318
7.72184,-18.0492,19.068
-10.0783,6.87174,19.1366
-10.4315,6.82604,19.3993
-10.0113,6.84587,19.5611
-22.1034,-1.20768,13.7101
-21.9452,-1.31184,13.3423
-22.1639,-1.56709,13.572
15.0278,2.47381,25.372
14.6765,2.62353,25.5243
14.8446,2.3157,25.6932
-22.6415,-9.6252,24.7172
-23.6026,-1.29608,32.4778
-23.8485,-1.53442,32.1759
-23.8109,-1.70306,32.653
-23.8039,-4.46844,38.0148
-23.505,-4.16116,38.1439
-23.7679,-4.07459,37.8352
10.6788,-14.9897,0.657792
10.9139,-14.6706,0.289425
12.7998,-3.50029,-0.0311839
13.1088,-3.87382,-0.0311839
12.6456,-3.93892,-0.0311839
-7.42977,-1.38469,-0.0311839
-7.1019,-1.46707,-0.0311839
-7.28838,-1.74504,-0.0311839
5.25133,-4.65035,-0.0311839
5.17186,-5.10288,-0.0311839
4.82109,-4.80005,-0.0311839
1.34439,3.83608,-0.0311839
1.15671,4.25264,-0.0311839
3.16237,-13.9659,-0.0311839
2.75167,-13.8326,-0.0311839
3.07878,-13.5653,-0.0311839
3.74534,-2.08254,-0.0311839
3.40236,-1.85881,-0.0311839
3.77169,-1.6854,-0.0311839
-1.3922,-5.80807,-0.0311839
-1.77065,-5.99607,-0.0311839
-1.73686,-5.57194,-0.0311839
1.27003,-8.87552,-0.0311839
1.68132,-9.15016,-0.0311839
1.25636,-9.41292,-0.0311839
-0.26955,-1.34257,-0.0311839
-0.298637,-0.897764,-0.0311839
0.0927794,-1.0413,-0.0311839
-6.20789,-7.46672,-0.0311839
-6.13344,-7.91781,-0.0311839
3.25689,-14.3823,-0.0311839
3.6917,-14.4847,-0.0311839
3.35055,-14.8445,-0.0311839
-7.12481,4.93088,-0.0311839
-6.7764,5.19842,-0.0311839
-6.72906,4.75665,-0.0311839
-7.10557,4.5029,-0.0311839
-19.9863,5.07048,41.5148
-20.1607,5.48974,41.4626
-20.1968,5.23378,41.2357
-12.2987,-7.14506,38.3354
-12.1344,-6.82231,38.1101
-3.38286,11.3294,12.317
-3.60125,11.0758,12.0737
-3.70696,11.116,12.4821
9.61908,-15.3901,1.90184
-4.35811,-17.8228,0.178883
-4.22913,-17.4341,-0.0311839
-4.03771,-17.6741,-0.0311839
18.6915,-2.69294,0.504642
19.1282,-2.86782,0.675087
12.9235,2.53529,0.93312
12.6714,2.78991,0.71755
12.8752,2.95131,1.04999
13.225,8.16988,9.34106
13.2628,8.23924,9.73716
13.5111,7.97475,9.51917
-6.81038,4.96997,10.5632
-7.07154,5.04818,10.8427
-6.68289,5.18144,10.8701
-0.368899,-17.3293,7.61929
-0.0940528,-17.5745,7.74374
-0.413621,-17.4298,8.095
-5.63037,7.3975,12.2606
17.3596,-13.1985,10.5411
17.6628,-12.9352,10.5247
17.5158,-13.0749,10.8792
-12.1078,-13.3059,10.8884
-12.0113,-13.5967,11.3054
-12.4097,-13.5003,11.2171
20.7399,-5.90063,17.396
20.7595,-6.11034,17.0137
20.7912,-5.6609,17.0353
-0.842715,-19.3364,14.9741
-0.902875,-19.3268,15.4089
-1.23231,-19.2126,15.1481
-18.6402,4.49207,19.5722
-18.9476,4.37609,19.3057
-18.9716,4.2644,19.7196
-14.6104,-14.7099,20.6888
-14.9895,-14.7046,20.5304
-14.6599,-14.7811,20.2724
-9.53479,-8.63294,29.1446
-9.65489,-8.94965,28.9322
-9.27572,-8.79254,28.7983
-18.3244,-13.6794,20.8855
-18.2138,-13.5869,21.2882
-18.594,-13.4679,21.1433
-17.1711,-17.7659,27.5587
5.40501,3.28217,28.4866
5.35847,3.58936,28.2031
5.028,3.40217,28.3601
-10.8952,-2.77105,34.6989
-10.9437,-2.80147,35.1371
-10.8986,-3.12506,34.9214
-16.9907,8.25402,36.6913
-17.3092,7.98817,36.6337
-17.4131,8.35494,36.7577
-18.7237,11.361,39.607
-18.716,11.4698,39.9534
-18.667,11.6943,39.6475
-15.6148,18.8655,46.7005
-20.3011,-7.87745,39.4201
-20.1277,-8.28828,39.4114
-19.8588,-7.96312,39.4996
-6.62616,1.20269,46.1988
-7.02298,1.18683,45.9923
-6.70785,0.829114,45.9436
-7.17575,0.11887,45.3242
-7.5885,0.235765,45.2613
0.518943,6.81796,48.7748
0.451398,6.64247,48.4276
-0.891406,2.88885,40.8556
-0.753354,2.39467,40.9064
-1.07559,2.53422,40.6741
-22.8614,-6.08339,14.5496
-22.9222,-6.45563,14.8824
-23.0583,-5.94673,14.9787
-7.50426,-6.68002,-0.0311839
-7.78689,-6.99503,-0.0311839
-7.89838,-6.60032,-0.0311839
15.776,-3.48163,-0.0311839
-0.490275,-2.71475,-0.0311839
-0.863696,-2.61639,-0.0311839
-12.8534,-3.73248,-0.0311839
-10.8122,-9.04038,-0.0311839
-11.1271,-8.89033,-0.0311839
-10.7374,-8.6324,-0.0311839
7.13625,-12.0531,-0.0311839
6.68686,-12.0071,-0.0311839
6.95793,-11.6759,-0.0311839
13.9511,-8.29139,-0.0311839
12.1862,3.27005,0.184123
11.8999,2.87895,-0.0311839
11.7451,3.26844,-0.0311839
-9.16651,-4.20221,-0.0311839
-9.01569,-3.8023,-0.0311839
-8.72437,-4.14597,-0.0311839
-0.52324,-4.99057,-0.0311839
-0.484987,-4.52152,-0.0311839
-0.136168,-4.80001,-0.0311839
-5.62564,-16.2626,-0.0311839
-5.23346,-16.3738,-0.0311839
-5.60795,-16.7061,0.204709
-2.35131,-12.1338,-0.0311839
-2.83615,-11.9061,-0.0311839
-2.39259,-11.5877,-0.0311839
5.09466,-9.09379,-0.0311839
5.2636,-9.55063,-0.0311839
4.82264,-9.51226,-0.0311839
-12.4647,0.263241,-0.0311839
-14.5706,-3.3843,-0.0311839
6.50963,-11.6153,-0.0311839
6.03551,-11.5521,-0.0311839
6.2221,-11.9632,-0.0311839
-7.78589,-14.314,-0.0311839
4.89923,-4.33177,-0.0311839
4.47383,-4.48866,-0.0311839
2.82409,-5.47502,-0.0311839
-12.7389,-10.4268,-0.0311839
-12.4943,-10.0708,-0.0311839
-12.3028,-10.4565,-0.0311839
9.86321,5.19129,-0.0311839
10.28,5.34658,-0.0311839
5.01062,-16.2705,0.259308
4.6512,-16.3703,0.31942
4.6648,-15.937,-0.0311839
-20.0736,3.21067,39.1612
-20.1447,3.56623,39.3476
-20.0273,3.5587,38.9723
-15.4432,-14.4326,0.392616
-15.3915,-14.0943,-0.0311839
-15.1562,-14.3,-0.0311839
4.5683,5.42037,26.076
4.74606,5.70649,25.731
4.33499,5.65898,25.732
-3.08794,3.4038,48.2014
-3.28739,3.78088,48.278
-3.42124,3.36604,48.1144
0.477654,7.30893,49.1069
-3.82959,-15.2109,-0.0311839
-5.27971,-6.41151,-0.0311839
16.3854,-2.79073,-0.0311839
1.49119,5.7476,-0.0311839
1.37932,6.15546,-0.0311839
-4.22567,0.0102932,-0.0311839
-4.20006,0.484143,-0.0311839
-3.83305,0.242697,-0.0311839
21.1483,-10.114,8.789
20.7651,-9.94644,8.9313
20.7885,-10.1978,8.5694
-19.2197,-13.5011,23.9479
-18.7736,-13.5394,24.0032
-19.0115,-13.9002,24.1448
3.17863,-7.7074,-0.0311839
-1.27848,-18.1178,0.263931
-1.45438,-17.7233,-0.0311839
-1.0418,-17.7878,-0.0311839
-1.68333,10.1892,6.6555
-1.52602,10.4579,7.00824
-1.26714,10.445,6.68138
15.6478,5.93902,7.81291
15.6845,5.75973,7.46141
15.419,6.05949,7.4906
0.909941,-13.8212,25.464
0.480667,-13.7282,25.4423
0.651996,-13.9496,25.1054
-3.79903,3.48942,47.9392
-9.58891,-4.20625,-0.0311839
-9.37761,-4.62813,-0.0311839
-13.1699,-1.13769,-0.0311839
-12.7862,-0.984171,-0.0311839
-12.8069,-1.41989,-0.0311839
-9.81851,-4.5166,-0.0311839
-8.18217,-6.9085,-0.0311839
2.39226,-6.72858,-0.0311839
2.81818,-6.6286,-0.0311839
2.74459,-4.73282,-0.0311839
2.92045,-4.33292,-0.0311839
3.17256,-4.68361,-0.0311839
-0.965103,-2.24899,-0.0311839
-10.5633,-7.35663,-0.0311839
-22.6606,0.109351,15.8867
-22.802,0.0226154,16.2719
-22.5857,0.413874,16.1845
-11.7951,-11.8012,26.8059
-11.4776,-11.6397,26.4139
-11.448,-11.5836,26.9434
-18.4777,15.4399,47.0203
-18.1191,15.7148,47.0872
-18.5833,15.8799,47.2508
-0.310687,1.63762,28.7506
-0.0819962,1.37743,28.9706
0.111173,1.70042,28.8209
-17.3134,-3.74835,-0.0311839
-17.7531,-3.64362,0.400541
-17.3751,-3.34613,-0.0311839
6.32257,-5.16542,-0.0311839
2.54942,-10.783,-0.0311839
2.95864,-10.7568,-0.0311839
2.7338,-11.1278,-0.0311839
2.82643,-8.49337,-0.0311839
2.66705,-7.0346,-0.0311839
-17.7263,-3.16158,-0.0311839
3.72372,-2.51421,-0.0311839
4.11378,-2.29165,-0.0311839
3.57877,-14.0771,-0.0311839
-1.88991,6.08212,-0.0311839
5.69149,-11.9412,-0.0311839
-9.1218,-1.25151,-0.0311839
-9.53917,-1.10558,-0.0311839
-9.16193,-0.821315,-0.0311839
13.2743,-7.54456,-0.0311839
13.7251,-7.51729,-0.0311839
13.5344,-7.82102,-0.0311839
-22.4912,0.723302,16.4834
-22.3009,0.766288,16.1053
-12.2282,4.81856,25.869
-12.6368,4.80922,25.7594
-12.5336,4.62196,26.112
11.0058,-0.594694,-0.0311839
11.2558,-0.253634,-0.0311839
1.66417,-9.51135,-0.0311839
1.46552,-9.81418,-0.0311839
-2.64402,-3.37579,-0.0311839
-2.59613,-3.78776,-0.0311839
-2.98864,-3.60491,-0.0311839
1.60912,5.34324,-0.0311839
2.01428,5.24043,-0.0311839
3.37761,-13.2959,-0.0311839
3.27447,-12.9303,-0.0311839
3.66064,-13.012,-0.0311839
8.25196,-13.0469,-0.0311839
8.69619,-12.8912,-0.0311839
8.52643,-13.3267,-0.0311839
3.10005,-3.9406,-0.0311839
2.67261,-3.97759,-0.0311839
0.626447,-15.4977,-0.0311839
0.999278,-15.3078,-0.0311839
0.962014,-15.7452,-0.0311839
-8.13208,-14.3996,-0.0311839
-8.48555,-14.1511,-0.0311839
-8.05824,-14.0153,-0.0311839
-8.73498,-5.66331,30.5646
-8.77716,-5.25007,30.6526
-9.0729,-5.52685,30.8128
-3.58699,3.80492,48.0284
-2.46699,-13.0451,-0.0311839
-2.46717,-12.613,-0.0311839
-2.09186,-12.8209,-0.0311839
1.24428,-10.1841,-0.0311839
1.67735,-10.1585,-0.0311839
-3.56696,-16.6866,-0.0311839
-3.77828,-16.3202,-0.0311839
-3.36297,-16.3316,-0.0311839
7.8059,4.40943,-0.0311839
7.35576,4.32912,-0.0311839
2.92336,-7.36309,-0.0311839
3.07948,-6.9686,-0.0311839
3.33462,-7.30458,-0.0311839
0.456193,-9.02816,-0.0311839
0.0316822,-8.96217,-0.0311839
0.32873,-8.63559,-0.0311839
-2.1126,6.44087,-0.0311839
-11.522,-7.25061,-0.0311839
2.28566,5.49279,-0.0311839
-1.2471,-2.48441,-0.0311839
-10.549,5.76201,13.133
-11.0036,5.71367,13.0041
-10.8506,5.89756,13.3993
-5.66996,0.295886,45.1934
-6.0583,0.236005,45.4661
-6.00093,0.0672923,45.0201
-3.27956,2.53595,46.7329
-3.5395,2.25074,46.828
-18.1677,8.63379,36.9228
-18.4667,8.35672,37.0134
-18.5341,8.78958,37.1055
18.5332,-10.7636,3.30464
12.3333,-14.635,4.07063
12.1212,-14.5786,3.72513
12.4707,-14.375,3.80202
4.45441,-16.8199,3.39936
4.68651,-16.6337,3.14151
